CMDLINE /home/jasonhu/anaconda3/envs/DNC/bin/python training/trainer.py
MEM 0.722656 1526070948.5589
MEM 2396.167969 1526070958.5639
MEM 2396.167969 1526070968.5653
MEM 2396.167969 1526070978.5679
MEM 2388.164062 1526070988.5761
MEM 2388.164062 1526070998.5859
MEM 2388.164062 1526071008.5952
MEM 2641.328125 1526071018.6055
MEM 2391.019531 1526071028.6151
MEM 2429.460938 1526071038.6254
MEM 2468.769531 1526071048.6357
MEM 2470.140625 1526071058.6431
MEM 2501.917969 1526071068.6471
MEM 2549.398438 1526071078.6552
MEM 2550.285156 1526071088.6631
MEM 2579.714844 1526071098.6720
MEM 2621.085938 1526071108.6822
